,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
248,195940,KR7195940002,HK이노엔,KOSDAQ GLOBAL,중견기업부,39500,1,750,1.94,39400,40250,39100,210821,8343646350,1119030694500,28329891,KSQ
249,001720,KR7001720002,신영증권,KOSPI,,67800,1,100,0.15,67700,68700,66500,12211,825485800,1114632000000,16440000,STK
250,001740,KR7001740000,SK네트웍스,KOSPI,,5030,2,-20,-0.4,5030,5080,4985,543241,2724317870,1113027847060,221277902,STK
251,120110,KR7120110002,코오롱인더,KOSPI,,40400,1,300,0.75,39900,40400,39700,79648,3202859500,1111771276400,27519091,STK
252,003090,KR7003090008,대웅,KOSPI,,19040,1,220,1.17,18810,19200,18680,41414,788693470,1107023299200,58141980,STK
253,001120,KR7001120005,LX인터내셔널,KOSPI,,28500,1,500,1.79,27850,28600,27850,276818,7849204500,1104660000000,38760000,STK
254,000210,KR7000210005,DL,KOSPI,,52700,2,-700,-1.31,52700,54400,52200,43608,2323413900,1104375086800,20955884,STK
255,267270,KR7267270007,HD현대건설기계,KOSPI,,55600,1,600,1.09,54700,55800,54500,69057,3820782200,1095364090800,19700793,STK
256,166090,KR7166090001,하나머티리얼즈,KOSDAQ GLOBAL,우량기업부,54900,1,700,1.29,53500,55000,52800,69564,3756539500,1085794302600,19777674,KSQ
257,140860,KR7140860008,파크시스템스,KOSDAQ,우량기업부,154500,1,5600,3.76,149000,156100,149000,24563,3772428700,1077383965500,6973359,KSQ
258,383310,KR7383310000,에코프로에이치엔,KOSDAQ,중견기업부,68800,3,0,0.0,68100,70000,67700,56881,3915192100,1052979321600,15304932,KSQ
259,033100,KR7033100009,제룡전기,KOSDAQ,우량기업부,65500,1,3400,5.48,60800,67900,60700,2569959,168706699100,1052087789500,16062409,KSQ
260,000400,KR7000400002,롯데손해보험,KOSPI,,3370,2,-95,-2.74,3440,3445,3370,758536,2571069115,1045833398400,310336320,STK
261,047920,KR7047920004,HLB제약,KOSDAQ,기술성장기업부,32600,2,-1500,-4.4,33800,34500,32350,413895,13829218600,1034942452600,31746701,KSQ
262,103590,KR7103590006,일진전기,KOSPI,,21650,2,-400,-1.81,21750,22550,21200,1541265,33767506500,1032388693500,47685390,STK
263,285130,KR7285130001,SK케미칼,KOSPI,,59600,2,-900,-1.49,59900,61400,59500,15791,946760600,1028325466800,17253783,STK
264,082740,KR7082740002,한화엔진,KOSPI,,12280,2,-490,-3.84,12650,12890,12220,934581,11658134130,1024730903760,83447142,STK
265,031980,KR7031980006,피에스케이홀딩스,KOSDAQ,우량기업부,47050,1,350,0.75,45500,47150,44800,166188,7677576750,1014510684750,21562395,KSQ
266,086900,KR7086900008,메디톡스,KOSDAQ,우량기업부,137600,1,2600,1.93,136000,139000,135000,24459,3365456000,1004269196800,7298468,KSQ
267,399720,KR7399720002,가온칩스,KOSDAQ,벤처기업부,87200,2,-3900,-4.28,89600,89700,86500,237958,20740910300,1001781504000,11488320,KSQ
268,183300,KR7183300003,코미코,KOSDAQ GLOBAL,우량기업부,95700,1,4200,4.59,89700,95800,88500,183334,16880072400,1001087458800,10460684,KSQ
269,089860,KR7089860001,롯데렌탈,KOSPI,,27300,1,100,0.37,27050,27350,27050,14618,397135800,1000109919900,36634063,STK
270,039130,KR7039130000,하나투어,KOSPI,,62100,2,-100,-0.16,62200,63400,61900,45258,2830159200,996033388500,16039185,STK
271,229640,KR7229640008,LS에코에너지,KOSPI,,32450,1,2150,7.1,30000,34400,29800,12117793,396599931600,993777323550,30624879,STK
272,222800,KR7222800005,심텍,KOSDAQ,우량기업부,31150,1,450,1.47,30500,31200,30400,110826,3429363900,992256554450,31854143,KSQ
273,213420,KR7213420003,덕산네오룩스,KOSDAQ GLOBAL,우량기업부,39800,1,1400,3.65,38250,40450,38250,157838,6274505350,988280924200,24831179,KSQ
274,178320,KR7178320008,서진시스템,KOSDAQ,우량기업부,26150,1,1450,5.87,24050,26350,23400,1269738,31623974950,982733788300,37580642,KSQ
275,365340,KR7365340009,성일하이텍,KOSDAQ,기술성장기업부,80700,1,600,0.75,79900,80800,79100,14475,1160941900,976864623000,12104890,KSQ
276,365550,KR7365550003,ESR켄달스퀘어리츠,KOSPI,,4545,2,-55,-1.2,4600,4600,4510,142496,648699855,968489505000,213089000,STK
277,085660,KR7085660009,차바이오텍,KOSDAQ,중견기업부,17010,2,-100,-0.58,17050,17240,16960,93272,1594754030,957908675430,56314443,KSQ
278,336570,KR7336570007,원텍,KOSDAQ,기술성장기업부,10700,1,360,3.48,10440,10770,10400,1128400,12024174720,955944623300,89340619,KSQ
279,192080,KR7192080000,더블유게임즈,KOSPI,,43950,1,200,0.46,43500,44100,43500,19622,860832650,944745068700,21495906,STK
280,003030,KR7003030004,세아제강지주,KOSPI,,227000,2,-5000,-2.16,229000,232500,226000,2859,653327000,940156139000,4141657,STK
281,036540,KR7036540003,SFA반도체,KOSDAQ,우량기업부,5650,1,10,0.18,5600,5650,5560,380422,2127407910,929200711950,164460303,KSQ
282,056190,KR7056190002,에스에프에이,KOSDAQ GLOBAL,우량기업부,25750,2,-100,-0.39,25800,25800,25400,55254,1413159750,924650570000,35908760,KSQ
283,001800,KR7001800002,오리온홀딩스,KOSPI,,14750,3,0,0.0,14680,14800,14600,29497,433099710,924019974500,62645422,STK
284,101490,KR7101490001,에스앤에스텍,KOSDAQ,우량기업부,42900,1,600,1.42,42000,42950,42000,89654,3802402050,920267076300,21451447,KSQ
